;exp_id;set_up;air_speed;fluid_flow_l_min;t_air_in;t_air_out;t_water_in;t_water_out
0;0;s1;7,96756;29,93303;29,35871125;39,534127;60,40754333333333;56,8692375
1;1;s1;8,00614;29,96388;29,361293750000005;39,525904;60,40612;56,8645325
2;2;s1;8,04779;29,88459;29,36578125;39,5163415;60,40365333333333;56,864465
3;3;s1;8,04779;30,02186;29,37273375;39,508507;60,40020666666666;56,8646975
4;4;s1;8,03163;29,94418;29,3768125;39,505499;60,398165000000006;56,86732
5;5;s1;8,00822;29,97739;29,38123625;39,5035745;60,395975;56,86713
6;6;s1;7,98286;29,92856;29,38525875;39,50196450000001;60,39332;56,86595
7;7;s1;8,0022;30,0719;29,3886875;39,501502;60,39148166666666;56,8654225
8;8;s1;7,96445;30,03979;29,39118375;39,49911549999999;60,390705;56,8652175
9;9;s1;7,9392;30,04528;29,39374375;39,5001705;60,39078833333334;56,8641825
10;10;s1;7,99756;29,95282;29,39872625;39,50365500000001;60,39083;56,864247500000005
11;11;s1;8,04569;29,92665;29,40233;39,5051495;60,38855333333333;56,862187500000005
12;12;s1;7,97231;30,0643;29,407325;39,50636599999999;60,386968333333336;56,8604575
13;13;s1;7,92912;29,98891;29,412985;39,5070315;60,38639166666667;56,85879
14;14;s1;8,00747;29,97218;29,41837;39,51015149999999;60,38444333333334;56,860667500000005
15;15;s1;8,02071;29,97232;29,423742500000003;39,51774;60,382015;56,86267000000001
16;16;s1;8,02071;30,02218;29,42834875;39,529138;60,37987999999999;56,86073
17;17;s1;7,96573;29,85065;29,4338;39,541899;60,37748166666666;56,85605
18;18;s1;7,9452;30,05147;29,44012625;39,5511165;60,375616666666666;56,854785
19;19;s1;7,90154;29,95066;29,44424625;39,556685;60,37145666666666;56,85455
20;20;s1;7,93335;30,0331;29,44766375;39,5606365;60,36898166666668;56,857185
21;21;s1;7,91589;29,96;29,44875375;39,565663;60,36688166666666;56,85601
22;22;s1;7,89925;30,01254;29,45226625;39,56988599999999;60,366345;56,8520825
23;23;s1;7,99317;;29,45509875;39,570499;60,36454666666666;56,8479425
24;24;s1;7,98797;30,02693;29,458945;39,571524;60,363101666666665;56,840355
25;25;s1;7,97982;29,99179;29,46096;39,5707895;60,36168166666667;56,8386625
26;26;s1;8,0046;29,94309;29,463655;39,572860000000006;60,36127;56,833215
27;27;s1;7,95269;29,98278;29,46623625;39,576388;60,360375000000005;56,8313825
28;28;s1;7,9974;30,02284;29,468785;39,577998;60,36091833333333;56,8329075
29;29;s2;7,9974;30,06781;29,470305;39,5791995;60,358920000000005;56,8331675
30;30;s2;8,03614;29,97975;29,4736975;39,5849545;60,35642166666668;56,833125
31;31;s2;7,96229;30,02757;29,4770125;39,5894885;60,35480333333334;56,8330875
32;32;s2;8,01208;30,00913;29,4812525;39,59380650000001;60,352781666666665;56,8278925
33;33;s2;8,00748;30,03813;29,4852475;39,597191;60,35216833333334;56,82387250000001
34;34;s2;7,98105;30,19616;29,48956375;39,599642;60,35034166666668;56,8232875
35;35;s2;7,96671;30,03143;29,4932075;39,59756;60,34770833333334;56,8274525
36;36;s2;8,00127;29,9854;29,49715875;39,598208;60,34533166666666;56,828305
37;37;s2;7,96187;29,99194;29,500615;39,6011025;60,34277666666666;56,827605
38;38;s2;7,97992;29,90181;29,502865;39,604604;60,33956666666666;56,8212225
39;39;s2;7,99868;29,98483;29,504885;39,608383;;56,8138275
40;40;s2;7,96753;30,08801;29,50731125;39,609559;60,334665;56,8074925
41;41;s2;8,02011;30,06603;29,50971625;39,609161500000006;60,33415166666666;56,8024
42;42;s2;8,02011;29,99849;29,5111575;39,61014349999999;60,33279166666666;56,799152500000005
43;43;s2;7,97292;29,98605;29,51381625;39,611873;60,33166166666667;56,795195
44;44;s2;8,02283;30,02387;29,515588750000003;39,615365;60,33068333333333;56,7942675
45;45;s2;8,04595;30,04623;29,518945;39,61793099999999;60,329845000000006;56,7944725
46;46;s2;7,98854;30,02782;29,52227375;39,620127;60,32826166666667;56,799487500000005
47;47;s2;7,98724;30,04621;29,5260325;39,6253055;60,32572833333334;56,8045425
48;48;s2;7,98134;30,01058;29,52793625;39,6301725;60,32290833333333;56,8066025
49;49;s2;7,92294;30,03517;29,52942125;39,629792;60,320408333333326;56,8068725
50;50;s2;7,943;30,07502;29,52990125;39,630778500000005;60,31816833333334;56,80466
