,id,dp_fluid,hr_fluid_kw,dp_air,hr_air_kw
0,0,45.88126,6.37922,709.40991,6.22814
1,1,45.78849,6.39348,722.06512,6.2534
2,2,45.76398,6.38221,730.33838,6.27774
3,3,45.70211,6.41708,722.4884,6.2688
4,4,45.5852,6.39275,713.39716,6.24702
5,5,45.86614,6.38956,714.65625,6.21978
6,6,45.84266,6.37039,715.8869,6.19818
7,7,45.59122,6.39911,717.39148,6.21224
8,8,45.69534,6.3918,711.729,6.18064
9,9,45.73698,6.39039,711.28436,6.1591
10,10,45.98965,6.36901,715.14709,6.20108
11,11,45.79353,6.36653,716.55914,6.23756
12,12,45.77771,6.39622,714.0658,6.17989
13,13,45.76976,6.37928,716.4845,6.14579
14,14,45.8064,6.37635,726.28003,6.20337
15,15,45.78861,6.37876,721.09412,6.2106
16,16,45.70719,6.37992,709.03644,6.2113
17,17,45.79693,6.33259,716.44891,6.17277
18,18,45.75009,6.37791,715.51343,6.16266
19,19,45.64601,6.36553,710.39874,6.13328
20,20,45.77501,6.38062,712.85297,6.16004
21,21,45.83492,6.35304,710.33112,6.1481
22,22,45.85225,6.35281,707.65283,6.1369
23,23,45.77029,6.34255,719.65717,6.2115
24,24,45.75165,6.36853,716.93622,6.20686
25,25,45.91462,6.36636,720.10889,6.19951
26,26,45.76079,6.36731,716.00427,6.21881
27,27,45.73804,6.37453,710.93225,6.17591
28,28,45.60503,6.39108,724.53003,6.20686
29,29,45.74407,6.40322,713.66748,6.20641
30,30,45.82189,6.37924,717.16736,6.23726
31,31,45.81148,6.38339,722.63422,6.18089
32,32,45.68813,6.37605,716.95398,6.22089
33,33,45.88278,6.38025,719.08453,6.21878
34,34,45.7537,6.4224,724.19928,6.1997
35,35,45.79066,6.39603,723.04681,6.18679
36,36,45.6122,6.38037,713.6817,6.2105
37,37,45.76611,6.36299,714.73804,6.17549
38,38,45.64363,6.33818,721.22571,6.18707
39,39,45.75189,6.35743,717.28479,6.19935
40,40,45.69674,6.38907,726.97357,6.1738
41,41,45.6951,6.39692,719.03119,6.21396
42,42,45.81115,6.3873,719.99866,6.21203
43,43,45.73251,6.3912,725.5722,6.17484
44,44,45.73677,6.40182,721.63831,6.2127
45,45,45.80955,6.41143,724.12103,6.22823
46,46,45.76599,6.4065,720.03418,6.18401
47,47,45.7523,6.40616,719.92035,6.18405
48,48,45.71919,6.38311,713.2691,6.17974
49,49,45.7939,6.37187,714.01605,6.13445
50,50,45.82406,6.37397,716.59473,6.15058
51,51,45.86672,6.348,721.46051,6.17825
52,52,45.80619,6.35273,721.53516,6.17795
53,53,45.79701,6.35684,718.55457,6.23507
54,54,45.82348,6.35633,729.02588,6.23104
55,55,45.71551,6.3519,721.98688,6.22905
56,56,45.72645,6.36339,729.87952,6.20435
57,57,45.8888,6.37319,720.73846,6.20803
58,58,45.7873,6.38393,721.86597,6.18093
59,59,45.70735,6.37978,726.07727,6.18879
60,60,45.78361,6.37701,724.23126,6.20092
61,61,45.68969,6.36,714.84119,6.18808
62,62,45.87688,6.33898,724.19214,6.15368
63,63,45.86844,6.33528,720.31165,6.17575
64,64,45.80271,6.34489,722.01538,6.15011
65,65,45.82062,6.35752,728.52435,6.14427
66,66,45.65023,6.33111,726.33337,6.1735
67,67,45.73276,6.33031,720.95544,6.18024
68,68,45.7698,6.36997,717.77203,6.18234
69,69,45.90409,6.35381,715.453,6.10634
70,70,45.95498,6.3621,724.97467,6.13501
71,71,45.84356,6.36935,719.04895,6.16153
72,72,45.70469,6.32953,721.92285,6.17646
73,73,45.70965,6.35346,712.88141,6.13497
74,74,45.68412,6.35064,715.53479,6.16104
75,75,45.73899,6.32805,717.72937,6.13504
76,76,45.8618,6.34096,727.03406,6.14322
77,77,45.76083,6.34661,719.88483,6.14275
78,78,45.84135,6.31901,720.30804,6.11844
79,79,45.83619,6.33664,722.28571,6.12376
80,80,45.72612,6.32873,724.79681,6.15062
81,81,45.6474,6.29931,720.66376,6.14984
82,82,45.7989,6.3524,724.90704,6.15669
83,83,45.64552,6.35321,721.46759,6.1618
84,84,45.71813,6.32754,721.14392,6.13012
85,85,45.71112,6.34402,725.04578,6.14709
86,86,45.78181,6.32923,726.95227,6.15027
87,87,45.86876,6.37678,727.29016,6.1517
88,88,45.79947,6.35896,721.69525,6.18083
89,89,45.72362,6.34889,720.51434,6.18271
90,90,45.8988,6.33335,715.71619,6.15725
91,91,45.87229,6.31534,718.59369,6.15181
92,92,45.84569,6.33489,731.47656,6.1935
93,93,45.78878,6.34807,721.55652,6.15402
94,94,45.77394,6.34525,723.53766,6.15433
95,95,45.87077,6.32384,713.2691,6.0915
96,96,45.86778,6.31202,715.77667,6.10635
97,97,45.77009,6.30585,717.62976,6.10814
98,98,45.72055,6.33083,714.65625,6.09953
99,99,45.98354,6.33347,715.39606,6.10157
100,100,45.85287,6.30722,714.10492,6.14019
101,101,45.76702,6.32123,716.61255,6.14813
102,102,45.83901,6.33082,722.4173,6.13984
103,103,45.84541,6.30068,717.35236,6.15752
104,104,45.74489,6.30816,717.39856,6.13373
105,105,45.80873,6.32201,715.22534,6.10982
106,106,45.8014,6.30586,726.61078,6.14637
107,107,45.81881,6.30643,722.68762,6.14682
108,108,45.73665,6.2804,716.30664,6.14984
109,109,45.86991,6.27925,717.96411,6.12697
110,110,45.80267,6.28748,714.85187,6.11465
111,111,45.73395,6.32536,715.53479,6.12451
112,112,45.85209,6.29336,720.69934,6.12894
113,113,45.7453,6.30407,719.93817,6.11283
114,114,45.77242,6.30897,727.48578,6.13683
115,115,45.79103,6.30335,721.50671,6.15752
116,116,45.90085,6.28881,714.54242,6.12536
117,117,45.95695,6.29847,721.41425,6.1102
118,118,45.90626,6.30279,734.354,6.09241
119,119,45.82189,6.28312,727.63159,6.14375
120,120,45.83094,6.30011,718.37317,6.1471
121,121,45.80021,6.29042,724.52649,6.16017
122,122,45.83557,6.27922,720.63177,6.17698
123,123,45.81398,6.2855,712.41901,6.15819
124,124,45.79734,6.25736,714.9408,6.13455
125,125,45.73813,6.26001,719.21613,6.16856
126,126,45.8904,6.29999,718.58655,6.16343
127,127,45.75886,6.25297,722.59869,6.16869
128,128,46.03116,6.28352,723.16779,6.12361
129,129,45.8361,6.29498,726.62146,6.11395
130,130,45.93421,6.27298,718.7146,6.11014
131,131,45.75415,6.2572,725.30542,6.1254
132,132,45.91794,6.27599,722.45996,6.1173
133,133,45.90019,6.27296,716.26752,6.13174
134,134,45.82479,6.2786,727.78455,6.10781
135,135,45.86381,6.32278,724.71143,6.10337
136,136,45.63207,6.28138,722.20032,6.06373
137,137,45.79931,6.30831,719.53265,6.06544
138,138,45.75669,6.30586,708.54559,6.05625
139,139,45.7737,6.27572,713.4718,6.07726
140,140,45.89798,6.23951,733.73871,6.11125
141,141,45.83311,6.27049,719.21613,6.07934
142,142,45.80713,6.2532,717.69733,6.05066
143,143,45.74022,6.25995,715.16132,6.04961
